address,class_label,category,source
0xe49e649a15a0fb961f80550e667316f2676c04b4,1,scam_heist,etherscan_labels
0x82c676c5dfe95f46ebf3d0637124f11d8155f18c,0,random_sample,bigquery_random_sample
0x00d498526bfac6b19a9f9868ca566509746a9258,0,contract_or_token,etherscan_labels
0xd4dbf96db2fdf8ed40296d8d104b371adf7dee12,0,contract_or_token,etherscan_labels
0x0e2529219d5618f2893fc49daad4c8c23218f368,1,scam_heist,etherscan_labels
0xaa0dd4b7db1edc85863f9580381d8e7fb10c7a0a,1,scam_heist,etherscan_labels
0x561aecf40dfb6773270982d8f20fe0cab582b9f3,0,contract_or_token,etherscan_labels
0x328dfd0139e26cb0fef7b0742b49b0fe4325f821,0,contract_or_token,etherscan_labels
0x17996cbddd23c2a912de8477c37d43a1b79770b8,0,contract_or_token,etherscan_labels
0x4f3eb5219e81774c40d86c26d5241902c95ab3fe,0,contract_or_token,etherscan_labels
0x0aa8cd6544692f3b9016c1b5134b3e57666da9a2,1,scam_heist,etherscan_labels
0xccc6c52c6b9ebcb4713b55aafcf242ed3748deb5,0,contract_or_token,etherscan_labels
0x95d5d94f20217c66f1d2110c8132514f53216cec,1,scam_heist,etherscan_labels
0xc15e011b8e117fba8cc241c70950fc79f515ab3e,1,scam_heist,etherscan_labels
0xb73160f333b563f0b8a0bcf1a25ac7578a10de96,0,contract_or_token,etherscan_labels
0x2a1dd33f4030a39e7f64703eb728989f60794d79,0,contract_or_token,etherscan_labels
0x611b6ceb9ff992eae47993d0232f95061fbaa257,0,contract_or_token,etherscan_labels
0xb02f6c30bcf0d42e64712c28b007b85c199db43f,1,scam_heist,etherscan_labels
0x1686d6f791c170c0daf45f3a0346914ee1a6d480,1,scam_heist,etherscan_labels
0x75d3d2abb8a46162834e9e0b81f1225a6a276969,1,scam_heist,etherscan_labels
0x33be4e8131aa4a0eff5e7530230fda974e488ab6,0,contract_or_token,etherscan_labels
0xd34e02f3aa52a8914eae1bda2134764ab54d1aa7,0,contract_or_token,etherscan_labels
0x2cbb8dfe7ccd4f33cd243ea6a6d02c9f3118450f,0,contract_or_token,etherscan_labels
0xbe1d66126a6c9a552dff61e5621dc62631dfb52d,1,scam_heist,etherscan_labels
0xcb39dac22eac35dec35d8d76f77ce08267ed586e,0,contract_or_token,etherscan_labels
0xe292bee4c40723b8c8d7f97e8157e1595e24a417,0,contract_or_token,etherscan_labels
0xe501d177fe2172e1da8a6d338a44d9f89705ed5c,0,contract_or_token,etherscan_labels
0xe4cea415ef71facb434dac76159be0bb5394b756,1,scam_heist,etherscan_labels
0xb2bd4a9366687d957efaf653687e51d01e1be272,1,scam_heist,etherscan_labels
0x15912a6bc50cc377b81a18cbbb95e44f44be9c0d,1,scam_heist,etherscan_labels
0xd558752e149d53346de7e3211b9d8ca7d9f0bb26,0,contract_or_token,etherscan_labels
0x048a04612e15b96d9b94a7470620201ed8a01921,0,contract_or_token,etherscan_labels
0x9741cdc6611eb16be905757daadc8d37e0ee2375,1,scam_heist,etherscan_labels
0x5ecbccff6d7ce09c3c36872d3c8180ed146a9053,1,scam_heist,etherscan_labels
0x5cf889bcf7d93d54712f8205f288593d7246efae,1,scam_heist,etherscan_labels
0xb739d0895772dbb71a89a3754a160269068f0d45,0,exchange,etherscan_labels
0x3981408780699961ce72784f70f8aa07c728b9a6,1,scam_heist,etherscan_labels
0x4580b644a86623f42e99b082a5378ef844b017cd,0,contract_or_token,etherscan_labels
0xd8b4cbcbb768088b9ea39b65e9533f481711d127,0,contract_or_token,etherscan_labels
0xb10ee84a9afb7a7033998efaa6b15835e978068d,0,contract_or_token,etherscan_labels
0xe12cef4b605e69ecfca4245cacad8025680a50cb,1,scam_heist,etherscan_labels
0x9bffa3ce3e56d0d26447a45771fec76bd4173022,0,contract_or_token,etherscan_labels
0x74879feeaf013c05c154924b30436b340fa66bc9,0,random_sample,bigquery_random_sample
0x0895f4263343d12ce332f23e8678fa9fbfcd9eff,0,contract_or_token,etherscan_labels
0xe7423d18f1fbfa4deca2a35c000acf65258b90c1,0,random_sample,bigquery_random_sample
0x9234d109ce54ebdeeff98350c8e87f1909a047a2,1,scam_heist,etherscan_labels
0x0ee646c29a0b0a415f3858fd850d6a80cd8f2769,1,scam_heist,etherscan_labels
0x8f80c66c70cbc52009babb04c1cadf9b40109289,0,exchange,etherscan_labels
0x6aa0f8620614afe9bd4aba3148439b08eb2557c0,0,exchange,etherscan_labels
0x0e7686a71f9c8d4de9f92ecfe2e5ca8e3d4dfc27,1,scam_heist,etherscan_labels
0x9a2d163ab40f88c625fd475e807bbc3556566f80,0,contract_or_token,etherscan_labels
0x28d3ac4848866d4c546929ddc6a5db5ebdb7ce26,1,scam_heist,etherscan_labels
0xa30911e072a0c88d55b5d0a0984b66b0d04569d0,0,contract_or_token,etherscan_labels
0xf6f807dec4c519f802aa268deb2723e3d5b02782,0,contract_or_token,etherscan_labels
0xba29b0549deaa04fbc7d61d02e21d880c1f28d0b,1,scam_heist,etherscan_labels
0x7cd4eba939f87e0c22ffaa54edf311ec39c48cf1,0,contract_or_token,etherscan_labels
0x4632ac4a94b57573f6b0297229fc8d54046f9be4,0,contract_or_token,etherscan_labels
0x1c8db04c881e626672e590aca139c55e0686e93e,0,contract_or_token,etherscan_labels
0x019b337f128fd5eb9f7e3fd36acaf6c334c7492b,1,scam_heist,etherscan_labels
0x91ff08452a74a281a5f7d8729f4250ec93cd6be5,0,contract_or_token,etherscan_labels
0x1bbbf2704f905d9821a336aa2eadf27f483eb763,0,contract_or_token,etherscan_labels
0x8ae4c29c97a9dfba7a4440c6336a7d37eba0e12c,1,scam_heist,etherscan_labels
0x506fe2ff7d15e0c479c5e8884090a00bc7f14daa,0,contract_or_token,etherscan_labels
0x0d707a4f46f6d96ffb1b2e76e8c5b86fb88a3044,0,contract_or_token,etherscan_labels
0x4079108c1501999d73817b8c78cf6e693b40455b,1,scam_heist,etherscan_labels
0x72920331d87ea4c39a8c0a9c68e4a60f4f5eafc4,1,scam_heist,etherscan_labels
0x02466e547bfdab679fc49e96bbfc62b9747d997c,0,exchange,etherscan_labels
0xe8152168736207fcb60f09569a1c05e17962f4de,0,contract_or_token,etherscan_labels
0xd14ab59a934a22b072f331453c205f85c168aae4,1,scam_heist,etherscan_labels
0x983de0364b76a21526e58d0eb1b58be7c85ce406,1,scam_heist,etherscan_labels
0xa7a5d8ed3c97815d7dde22993efe0754bc4172c4,0,contract_or_token,etherscan_labels
0x32e574b0400cdb93dc33a34a30986737186bde43,0,contract_or_token,etherscan_labels
0xd50ceff38dc517befca621265871a415ecc3f91b,0,contract_or_token,etherscan_labels
0x64bd63cc9d697a58c307791b43a34a08c722491d,0,contract_or_token,etherscan_labels
0x40e8caa08a2183475f61af4f38c83ec963ed718e,0,contract_or_token,etherscan_labels
